customer_id,scoop_count,flavor_ids,order_line,paper,satisfied_line,unsatisfied_time,unsatisfied_container,unsatisfied_flavor
CUST-019,1,FLV-011,오늘은 잇코에 러브포션! 왠지 좋은 일이 생길 것 같아요.,"""잇코, 러브포션""",행운이 오려나 봐요!,좋은 일이 생길 줄 알았는데… 다 녹아버렸네요.,용기가 다른데요. 이건 좀 아쉽네요.,이건 아닌데. 실망이네요.
CUST-020,3,FLV-002|FLV-019|FLV-009,"산코에 초코, 초콜릿, 초콜릿 무스. 초콜릿으로만 꽉 채워주세요.","""산코, 초코, 초콜릿, 무스""",초콜릿 천국이네요!,초콜릿이 다 녹아 흘러내리잖아요!,산코 시켰는데 용기가 왜 이래요?,초콜릿이 부족한데요?
CUST-021,2,FLV-007|FLV-007,"니코에 딸기 두 개요. 아니, 딸기만요. 진짜 딸기로요.","""니코, 딸기만 둘""",제가 원한 게 이거예요!,딸기가 다 녹았잖아요. 이게 뭐예요.,니코라니까요. 이 용기 아니에요.,딸기가 아닌 것 같은데…
CUST-022,6,FLV-008|FLV-006|FLV-003|FLV-017|FLV-007|FLV-020,"록코! 레인보우 셔벗, 체리쥬빌레, 슈팅스타, 트윈베리, 딸기, 요거트요.","""록코, 레인보우, 체리, 슈스, 트윈, 딸기, 요거트""","무지개 같아요, 최고!",색이 다 녹아서 섞여버렸잖아요.,록코여야 다 담기죠. 이 용기가 아닌데요.,색이 이게 아닌데요.
CUST-023,1,FLV-005,"먼 도시의 골목이 그리워요. 잇코에 뉴욕 치즈케이크 한 조각이면, 돌아간 기분일 텐데.","""잇코, 뉴치케""",아… 그 골목이 떠오르네요. 고마워요.,기다리는 사이 그 골목도 흐려졌네요… 다 녹았어요.,그 골목의 그릇은… 이게 아니었어요.,제 추억은 이런 맛이 아니었어요…
CUST-024,4,FLV-003|FLV-008|FLV-006|FLV-011,"욘코에 슈팅스타, 레인보우 셔벗, 체리쥬빌레, 러브포션이요.","""욘코, 슈스, 레인보우, 체리, 러브포션""",화려해서 마음에 들어요!,느려터졌네. 다 녹았잖아.,용기부터 틀렸네. 최악.,최악.
CUST-025,2,FLV-013|FLV-016,졸려요… 잠 좀 깨게 니코에 자모카랑 프랄린 크림… 부탁… 해요…,"""니코, 자모카, 프랄린""","오, 눈이 좀 떠지네요. 감사…",기다리다… 그냥 잠들 뻔했어요… 다 녹았네요…,용기가… 다른 것 같은데요… 흐암…,이걸론 못 깨겠어요…
CUST-026,3,FLV-018|FLV-018|FLV-018,산코에 바닐라만 세 번. 다른 건 절대 넣지 마세요.,"""산코, 바닐라만 셋""",심플한 게 최고죠.,심플하게 시켰는데 왜 이리 늦어요. 다 녹았네요.,용기가 왜 달라요? 산코라고 했잖아요.,왜 다른 게 섞였죠?
CUST-027,5,FLV-001|FLV-001|FLV-014|FLV-014|FLV-020,"고코에 민트초코칩 둘, 녹차 둘, 요거트 하나요.","""고코, 민초 둘, 녹차 둘, 요거트""",상큼하고 개운해요!,개운하게 먹으려 했는데 다 녹아버렸네요.,고코 시켰는데 이 크기 아닌데요.,이 조합이 아닌데요.
CUST-028,1,FLV-012,잇코에 솜사탕이요! 보기만 해도 기분이 좋아요.,"""잇코, 솜사탕""",달콤해서 행복해요!,너무 오래 걸려요. 다 녹아서 슬퍼요.,이 컵 아니에요. 크기가 달라요.,생각보다 별로네요.
CUST-029,2,FLV-006|FLV-003,니코로 체리쥬빌레랑 슈팅스타 주세요.,"""니코, 체리, 슈스""","별빛 같네요, 감사합니다.",별빛이 다 사라졌어요. 너무 녹아버렸네요.,니코라고 했는데 용기가 다르네요.,제가 시킨 맛이 아닌데요.
CUST-030,6,FLV-011|FLV-011|FLV-011|FLV-011|FLV-011|FLV-011,"오늘은 특별한 날! 록코에 러브포션만 여섯 개, 전부 채워주세요.","""록코, 러브포션 여섯""",완벽해요. 잊지 못할 거예요!,특별한 날인데… 다 녹아버렸네요. 아쉬워요.,"특별한 날인데 용기부터 틀리다니, 아쉬워요.","이런 실수라니, 아쉽네요."
